Device Name,Calibration Slope,Calibration Intercept,Channel Name,Group Name,Measurement Type
FSW1_0-03mBC,1,0,TC A1 0.03 m BC,TC A1,Temperature
FSW1_0-3mBC,1,0,TC A1 0.30 m BC,TC A1,Temperature
FSW1_0-61mBC,1,0,TC A1 0.61 m BC,TC A1,Temperature
FSW1_0-91mBC,1,0,TC A1 0.91 m BC,TC A1,Temperature
FSW1_1-22mBC,1,0,TC A1 1.22 m BC,TC A1,Temperature
FSW1_1-52mBC,1,0,TC A1 1.52 m BC,TC A1,Temperature
FSW1_1-83mBC,1,0,TC A1 1.83 m BC,TC A1,Temperature
FSW1_2-13mBC,1,0,TC A1 2.13 m BC,TC A1,Temperature
FSW2_0-03mBC,1,0,TC A2 0.03 m BC,TC A2,Temperature
FSW2_0-3mBC,1,0,TC A2 0.30 m BC,TC A2,Temperature
FSW2_0-61mBC,1,0,TC A2 0.61 m BC,TC A2,Temperature
FSW2_0-91mBC,1,0,TC A2 0.91 m BC,TC A2,Temperature
FSW2_1-22mBC,1,0,TC A2 1.22 m BC,TC A2,Temperature
FSW2_1-52mBC,1,0,TC A2 1.52 m BC,TC A2,Temperature
FSW2_1-83mBC,1,0,TC A2 1.83 m BC,TC A2,Temperature
FSW2_2-13mBC,1,0,TC A2 2.13 m BC,TC A2,Temperature
FSW3_0-3mBC,1,0,TC A3 0.30 m BC,TC A3,Temperature
FSW3_0-61mBC,1,0,TC A3 0.61 m BC,TC A3,Temperature
FSW3_0-91mBC,1,0,TC A3 0.91 m BC,TC A3,Temperature
FSW3_1-22mBC,1,0,TC A3 1.22 m BC,TC A3,Temperature
FSW3_1-52mBC,1,0,TC A3 1.52 m BC,TC A3,Temperature
FSW3_1-83mBC,1,0,TC A3 1.83 m BC,TC A3,Temperature
FSW3_2-13mBC,1,0,TC A3 2.13 m BC,TC A3,Temperature
FSW4_0-3mBS,1,0,TC A4 0.30 m BS,TC A4,Temperature
FSW4_0-61mBS,1,0,TC A4 0.61 m BS,TC A4,Temperature
FSW4_0-91mBS,1,0,TC A4 0.91 m BS,TC A4,Temperature
FSW4_1-22mBS,1,0,TC A4 1.22 m BS,TC A4,Temperature
FSW4_1-52mBS,1,0,TC A4 1.52 m BS,TC A4,Temperature
FSW4_1-83mBS,1,0,TC A4 1.83 m BS,TC A4,Temperature
FSW4_2-13mBS,1,0,TC A4 2.13 m BS,TC A4,Temperature
FSW3_bdp_0-3mBC,99.52,-248.8,BDP A3 0.30 m BC,BDP A3,Velocity
FSW3_bdp_0-61mBC,99.52,-248.8,BDP A3 0.61 m BC,BDP A3,Velocity
FSW3_bdp_0-91mBC,99.52,-248.8,BDP A3 0.91 m BC,BDP A3,Velocity
FSW3_bdp_1-22mBC,99.52,-248.8,BDP A3 1.22 m BC,BDP A3,Velocity
FSW3_bdp_1-52mBC,99.52,-248.8,BDP A3 1.52 m BC,BDP A3,Velocity
FSW3_bdp_1-83mBC,99.52,-248.8,BDP A3 1.83 m BC,BDP A3,Velocity
FSW3_bdp_2-13mBC,99.52,-248.8,BDP A3 2.13 m BC,BDP A3,Velocity
FSW4_bdp_0-3mBS,99.52,-248.8,BDP A4 0.30 m BS,BDP A4,Velocity
FSW4_bdp_0-61mBS,99.52,-248.8,BDP A4 0.61 m BS,BDP A4,Velocity
FSW4_bdp_0-91mBS,99.52,-248.8,BDP A4 0.91 m BS,BDP A4,Velocity
FSW4_bdp_1-22mBS,99.52,-248.8,BDP A4 1.22 m BS,BDP A4,Velocity
FSW4_bdp_1-52mBS,99.52,-248.8,BDP A4 1.52 m BS,BDP A4,Velocity
FSW4_bdp_1-83mBS,99.52,-248.8,BDP A4 1.83 m BS,BDP A4,Velocity
FSW4_bdp_2-13mBS,99.52,-248.8,BDP A4 2.13 m BS,BDP A4,Velocity
FSW1_HF_0-15mAF,11910,0,Heat Flux 1,Heat Flux 1,Heat Flux
FSW1_RAD_0-15mAF,9542,0,Radiometer 1,Heat Flux 1,Heat Flux
FSW2_HF_0-15mAF,1512,0,Heat Flux 2,Heat Flux 1,Heat Flux
FSW2_RAD_0-15mAF,1896,0,Radiometer 2,Heat Flux 2,Heat Flux
FSW3_HF_1-52mBC,1569,0,Heat Flux 3 Horizontal,Heat Flux 3,Heat Flux
FSW3_HF2_1-52mBC,1564,0,Heat Flux 3 Vertical,Heat Flux 3,Heat Flux
FSW5_HF_1-52mBC,1924,0,Heat Flux 5 Horizontal,Heat Flux 3,Heat Flux
FSW5_HF2_1-52mBC,2074,0,Heat Flux 5 Vertical,Heat Flux 3,Heat Flux
